,q_num,user,rank,feature_rank,activity
2,119.0,139010.0,1769.0,"[1, 3, 2]",comment
3,119.0,602323.0,2142.0,"[3, 2, 1]",answer
4,119.0,367141.0,3585.0,"[1, 3, 2]",favorite
5,119.0,1067761.0,10730.0,"[1, 3, 2]",answer
6,119.0,41782.0,11645.0,"[1, 3, 2]",edit
0,120.0,1076969.0,58.0,"[3, 2, 1]",answer
1,120.0,471607.0,2289.0,"[1, 3, 2]",comment
2,120.0,321862.0,2750.0,"[3, 2, 1]",answer
3,120.0,1005235.0,3592.0,"[3, 2, 1]",comment
4,120.0,130076.0,3671.0,"[3, 2, 1]",answer
0,121.0,1191156.0,922.0,"[3, 2, 1]",answer
1,121.0,1076463.0,1314.0,"[1, 3, 2]",answer
2,121.0,276052.0,2282.0,"[1, 3, 2]",comment
3,121.0,44330.0,2428.0,"[3, 2, 1]",edit
4,121.0,643141.0,2698.0,"[3, 2, 1]",answer
5,121.0,807828.0,4514.0,"[1, 3, 2]",answer
6,121.0,213269.0,4797.0,"[1, 3, 2]",answer
0,122.0,311028.0,1710.0,"[3, 2, 1]",answer
1,122.0,812149.0,1984.0,"[3, 2, 1]",edit
2,122.0,405906.0,2917.0,"[3, 2, 1]",answer
3,122.0,1836.0,3349.0,"[3, 2, 1]",edit
4,122.0,635504.0,5236.0,"[1, 3, 2]",comment
0,123.0,571407.0,1.0,"[1, 3, 2]",answer
1,123.0,850379.0,2713.0,"[3, 2, 1]",edit
0,124.0,418556.0,0.0,"[1, 2, 3]",comment
1,124.0,45108.0,4363.0,"[3, 2, 1]",answer
2,124.0,767881.0,4508.0,"[3, 2, 1]",answer
3,124.0,150771.0,4533.0,"[3, 2, 1]",answer
0,125.0,2351.0,30.0,"[3, 2, 1]",answer
1,125.0,869736.0,940.0,"[1, 3, 2]",favorite
2,125.0,1205715.0,3198.0,"[3, 2, 1]",answer
3,125.0,87197.0,3920.0,"[3, 2, 1]",favorite
4,125.0,355499.0,4321.0,"[3, 2, 1]",answer
5,125.0,695639.0,9328.0,"[1, 3, 2]",favorite
0,126.0,1089833.0,14.0,"[3, 2, 1]",comment
1,126.0,571407.0,1008.0,"[1, 3, 2]",answer
2,126.0,1159948.0,3988.0,"[3, 2, 1]",comment
3,126.0,1313143.0,4308.0,"[3, 2, 1]",comment
4,126.0,1987479.0,48842.0,"[1, 3, 2]",answer
5,126.0,1489700.0,55921.0,"[1, 3, 2]",answer
0,127.0,19404.0,111.0,"[3, 2, 1]",answer
1,127.0,7918.0,1071.0,"[3, 2, 1]",answer
2,127.0,835805.0,1930.0,"[3, 2, 1]",comment
3,127.0,212555.0,2331.0,"[3, 2, 1]",answer
4,127.0,23771.0,5363.0,"[1, 3, 2]",answer
0,128.0,384706.0,3487.0,"[3, 2, 1]",answer
1,128.0,157247.0,4500.0,"[1, 3, 2]",comment
2,128.0,604864.0,4712.0,"[3, 2, 1]",comment
3,128.0,767881.0,5557.0,"[3, 2, 1]",comment
4,128.0,298455.0,5798.0,"[1, 3, 2]",comment
5,128.0,242397.0,9174.0,"[1, 3, 2]",comment
0,129.0,731174.0,3136.0,"[3, 2, 1]",answer
1,129.0,786718.0,3324.0,"[3, 2, 1]",answer
0,130.0,1435761.0,2931.0,"[3, 2, 1]",comment
1,130.0,113794.0,17093.0,"[1, 3, 2]",comment
0,131.0,680925.0,1284.0,"[1, 3, 2]",edit
1,131.0,481863.0,3538.0,"[3, 2, 1]",favorite
2,131.0,1073063.0,4684.0,"[3, 2, 1]",favorite
3,131.0,1082300.0,5942.0,"[1, 3, 2]",answer
4,131.0,899562.0,10298.0,"[1, 3, 2]",answer
5,131.0,77115.0,23490.0,"[1, 3, 2]",favorite
6,131.0,1679516.0,37583.0,"[3, 2, 1]",edit
7,131.0,1708509.0,47260.0,"[1, 3, 2]",answer
8,131.0,1391249.0,53520.0,"[1, 3, 2]",favorite
0,132.0,418556.0,0.0,"[1, 2, 3]",comment
1,132.0,714968.0,1118.0,"[1, 3, 2]",edit
2,132.0,898478.0,2885.0,"[3, 2, 1]",comment
3,132.0,823991.0,3154.0,"[3, 2, 1]",answer
4,132.0,883033.0,3444.0,"[3, 2, 1]",answer
5,132.0,14955.0,3534.0,"[3, 1, 2]",comment
6,132.0,1282908.0,4331.0,"[3, 2, 1]",answer
7,132.0,302517.0,5752.0,"[1, 3, 2]",comment
0,133.0,839527.0,2957.0,"[3, 2, 1]",answer
1,133.0,738711.0,3250.0,"[3, 2, 1]",comment
2,133.0,393908.0,5995.0,"[1, 3, 2]",edit
0,134.0,57695.0,3.0,"[1, 3, 2]",comment
1,134.0,1275803.0,1234.0,"[3, 2, 1]",answer
2,134.0,337455.0,3746.0,"[3, 2, 1]",answer
3,134.0,1238522.0,5654.0,"[1, 3, 2]",comment
4,134.0,220986.0,11698.0,"[1, 3, 2]",comment
5,134.0,250329.0,30799.0,"[1, 3, 2]",comment
0,135.0,690777.0,72.0,"[3, 2, 1]",answer
1,135.0,793522.0,2685.0,"[3, 2, 1]",comment
2,135.0,413127.0,4382.0,"[3, 2, 1]",answer
0,136.0,1141149.0,926.0,"[3, 2, 1]",answer
1,136.0,20394.0,2533.0,"[3, 2, 1]",answer
2,136.0,164835.0,2568.0,"[3, 2, 1]",answer
3,136.0,548225.0,2822.0,"[3, 1, 2]",answer
4,136.0,688206.0,3470.0,"[3, 2, 1]",answer
5,136.0,695461.0,4797.0,"[1, 3, 2]",comment
0,137.0,207421.0,1297.0,"[1, 3, 2]",comment
1,137.0,645270.0,4606.0,"[3, 2, 1]",edit
2,137.0,673730.0,5563.0,"[3, 2, 1]",answer
3,137.0,608170.0,6723.0,"[1, 3, 2]",comment
0,138.0,605744.0,1175.0,"[1, 3, 2]",answer
1,138.0,930928.0,2107.0,"[3, 2, 1]",edit
0,139.0,1348729.0,21.0,"[3, 2, 1]",comment
1,139.0,207421.0,1196.0,"[1, 3, 2]",answer
2,139.0,758280.0,2609.0,"[1, 3, 2]",comment
0,140.0,1165215.0,3619.0,"[3, 2, 1]",edit
1,140.0,1080166.0,5019.0,"[3, 2, 1]",comment
0,141.0,987244.0,2153.0,"[3, 2, 1]",favorite
1,141.0,791998.0,2163.0,"[3, 2, 1]",answer
2,141.0,11614.0,2499.0,"[3, 2, 1]",answer
3,141.0,402033.0,4324.0,"[1, 3, 2]",comment
4,141.0,537031.0,5844.0,"[1, 3, 2]",edit
0,142.0,1047448.0,5386.0,"[3, 2, 1]",answer
0,143.0,571407.0,1.0,"[1, 3, 2]",comment
1,143.0,575253.0,5.0,"[3, 2, 1]",comment
2,143.0,599436.0,2982.0,"[3, 2, 1]",comment
3,143.0,5746.0,10842.0,"[1, 3, 2]",answer
0,144.0,1065197.0,2895.0,"[1, 3, 2]",answer
0,145.0,418556.0,0.0,"[1, 2, 3]",comment
1,145.0,522444.0,1.0,"[1, 3, 2]",comment
2,145.0,1274800.0,3.0,"[3, 2, 1]",comment
3,145.0,714968.0,960.0,"[1, 3, 2]",edit
4,145.0,260990.0,2507.0,"[1, 3, 2]",edit
5,145.0,1075956.0,3774.0,"[3, 2, 1]",comment
6,145.0,212211.0,3913.0,"[3, 1, 2]",comment
7,145.0,556919.0,4429.0,"[3, 2, 1]",answer
0,146.0,362416.0,597.0,"[3, 2, 1]",edit
0,147.0,710990.0,20.0,"[3, 2, 1]",answer
0,148.0,676803.0,2582.0,"[3, 2, 1]",answer
1,148.0,886533.0,3700.0,"[1, 3, 2]",answer
0,149.0,62349.0,8815.0,"[1, 3, 2]",favorite
1,149.0,1346404.0,17677.0,"[1, 3, 2]",answer
2,149.0,252871.0,17679.0,"[1, 3, 2]",answer
0,150.0,192801.0,927.0,"[2, 3, 1]",comment
1,150.0,921254.0,2298.0,"[3, 2, 1]",comment
2,150.0,185722.0,2899.0,"[3, 2, 1]",answer
3,150.0,1074060.0,3442.0,"[3, 2, 1]",answer
4,150.0,876298.0,3596.0,"[3, 2, 1]",edit
5,150.0,866193.0,3649.0,"[3, 2, 1]",answer
0,151.0,1279334.0,2075.0,"[3, 2, 1]",edit
1,151.0,1267661.0,3247.0,"[3, 2, 1]",answer
2,151.0,501696.0,4441.0,"[3, 2, 1]",comment
3,151.0,83695.0,4871.0,"[3, 2, 1]",edit
4,151.0,1386439.0,7423.0,"[1, 3, 2]",comment
5,151.0,750208.0,8080.0,"[1, 3, 2]",comment
0,152.0,230513.0,594.0,"[1, 3, 2]",answer
1,152.0,1149528.0,9567.0,"[1, 2, 3]",edit
2,152.0,1282835.0,40007.0,"[1, 3, 2]",answer
0,153.0,659804.0,1808.0,"[1, 3, 2]",answer
1,153.0,1037210.0,2275.0,"[3, 2, 1]",comment
2,153.0,960195.0,2320.0,"[3, 2, 1]",edit
3,153.0,378897.0,6125.0,"[1, 3, 2]",comment
4,153.0,16209.0,22749.0,"[1, 3, 2]",comment
5,153.0,3227495.0,54380.0,"[1, 3, 2]",answer
0,154.0,230513.0,503.0,"[1, 2, 3]",answer
0,155.0,326370.0,1554.0,"[3, 2, 1]",comment
1,155.0,977676.0,1745.0,"[3, 2, 1]",edit
2,155.0,1075254.0,2311.0,"[3, 2, 1]",comment
3,155.0,1083652.0,3099.0,"[1, 3, 2]",comment
0,156.0,851273.0,4605.0,"[3, 2, 1]",edit
0,157.0,14955.0,2384.0,"[3, 2, 1]",comment
1,157.0,1297641.0,3188.0,"[3, 2, 1]",comment
0,158.0,750040.0,4045.0,"[3, 2, 1]",answer
1,158.0,1228454.0,4426.0,"[3, 2, 1]",answer
2,158.0,8528.0,6038.0,"[1, 3, 2]",answer
0,159.0,343955.0,2057.0,"[3, 1, 2]",answer
1,159.0,1033896.0,3078.0,"[3, 2, 1]",answer
2,159.0,1216246.0,4096.0,"[3, 2, 1]",answer
0,160.0,1099643.0,1716.0,"[3, 2, 1]",answer
0,161.0,571407.0,1.0,"[1, 3, 2]",comment
1,161.0,1263838.0,2931.0,"[3, 2, 1]",answer
2,161.0,2600187.0,2998.0,"[3, 2, 1]",answer
3,161.0,568986.0,3974.0,"[3, 2, 1]",edit
0,162.0,418556.0,0.0,"[1, 2, 3]",edit
1,162.0,112044.0,30.0,"[3, 2, 1]",edit
2,162.0,1094597.0,1292.0,"[1, 3, 2]",comment
3,162.0,1055241.0,1591.0,"[3, 2, 1]",answer
4,162.0,713414.0,1850.0,"[3, 2, 1]",answer
5,162.0,788109.0,2629.0,"[3, 2, 1]",comment
6,162.0,1077680.0,3228.0,"[1, 3, 2]",comment
7,162.0,225899.0,3898.0,"[1, 3, 2]",favorite
0,163.0,1057230.0,1422.0,"[1, 2, 3]",answer
1,163.0,650518.0,1689.0,"[3, 2, 1]",answer
2,163.0,1144611.0,1789.0,"[3, 2, 1]",edit
3,163.0,729881.0,2987.0,"[3, 2, 1]",edit
4,163.0,371327.0,4096.0,"[3, 2, 1]",answer
0,164.0,571407.0,1.0,"[1, 3, 2]",answer
1,164.0,1403575.0,1512.0,"[3, 2, 1]",answer
0,165.0,69258.0,3728.0,"[1, 3, 2]",comment
1,165.0,520957.0,4120.0,"[3, 2, 1]",edit
0,166.0,612206.0,2509.0,"[3, 2, 1]",answer
1,166.0,1394981.0,3856.0,"[3, 2, 1]",comment
2,166.0,964887.0,4036.0,"[3, 2, 1]",answer
3,166.0,1075066.0,4585.0,"[3, 2, 1]",answer
4,166.0,7540151.0,58076.0,"[1, 3, 2]",answer
0,167.0,139985.0,1180.0,"[1, 3, 2]",comment
1,167.0,1232131.0,1317.0,"[3, 2, 1]",answer
2,167.0,940723.0,2499.0,"[3, 2, 1]",answer
3,167.0,808486.0,2559.0,"[1, 3, 2]",answer
4,167.0,217324.0,3333.0,"[3, 2, 1]",edit
5,167.0,543539.0,5487.0,"[3, 2, 1]",answer
0,168.0,147235.0,488.0,"[3, 2, 1]",answer
1,168.0,29407.0,4843.0,"[1, 3, 2]",comment
2,168.0,883671.0,5150.0,"[1, 3, 2]",comment
3,168.0,570150.0,8065.0,"[1, 3, 2]",comment
0,169.0,67865.0,325.0,"[3, 2, 1]",answer
1,169.0,141642.0,2066.0,"[3, 2, 1]",answer
2,169.0,597657.0,3198.0,"[3, 2, 1]",edit
3,169.0,201359.0,3246.0,"[3, 2, 1]",answer
4,169.0,135589.0,4229.0,"[1, 3, 2]",comment
0,170.0,1066506.0,50.0,"[3, 2, 1]",answer
1,170.0,189186.0,5001.0,"[3, 2, 1]",answer
0,171.0,1170852.0,497.0,"[3, 2, 1]",answer
1,171.0,22656.0,732.0,"[1, 3, 2]",answer
2,171.0,301525.0,932.0,"[3, 2, 1]",answer
3,171.0,53897.0,1650.0,"[1, 3, 2]",answer
4,171.0,642706.0,2727.0,"[3, 2, 1]",comment
5,171.0,142822.0,2876.0,"[3, 2, 1]",answer
6,171.0,548473.0,2950.0,"[3, 2, 1]",answer
7,171.0,1057291.0,3564.0,"[3, 2, 1]",answer
8,171.0,713414.0,3601.0,"[3, 2, 1]",comment
9,171.0,540837.0,5287.0,"[1, 3, 2]",edit
10,171.0,250648.0,13196.0,"[1, 3, 2]",comment
11,171.0,6649442.0,34651.0,"[1, 3, 2]",answer
0,172.0,289396.0,3600.0,"[3, 2, 1]",answer
0,173.0,944108.0,3685.0,"[3, 2, 1]",answer
0,174.0,107029.0,1497.0,"[3, 2, 1]",answer
1,174.0,479180.0,2949.0,"[3, 2, 1]",edit
2,174.0,488241.0,3201.0,"[3, 2, 1]",edit
0,175.0,157882.0,685.0,"[1, 3, 2]",answer
1,175.0,1233366.0,2150.0,"[3, 2, 1]",edit
0,176.0,1144275.0,2695.0,"[3, 2, 1]",answer
0,177.0,207421.0,1414.0,"[1, 3, 2]",answer
1,177.0,211197.0,3482.0,"[3, 2, 1]",comment
2,177.0,1160121.0,3661.0,"[3, 2, 1]",answer
3,177.0,559070.0,3864.0,"[3, 2, 1]",comment
4,177.0,689853.0,4225.0,"[3, 2, 1]",edit
5,177.0,12719.0,4541.0,"[3, 2, 1]",answer
6,177.0,1393766.0,4704.0,"[3, 2, 1]",answer
7,177.0,1065525.0,4760.0,"[3, 2, 1]",edit
8,177.0,397016.0,4999.0,"[3, 2, 1]",answer
9,177.0,1185665.0,5125.0,"[3, 2, 1]",comment
10,177.0,366898.0,5474.0,"[3, 2, 1]",favorite
11,177.0,1288.0,6684.0,"[1, 3, 2]",favorite
12,177.0,1874487.0,47083.0,"[1, 3, 2]",answer
0,178.0,57695.0,3.0,"[1, 3, 2]",comment
1,178.0,829571.0,1466.0,"[1, 3, 2]",answer
2,178.0,80389.0,1740.0,"[3, 2, 1]",edit
3,178.0,997555.0,4681.0,"[3, 2, 1]",comment
4,178.0,1007169.0,5002.0,"[3, 2, 1]",answer
0,179.0,128347.0,3953.0,"[3, 2, 1]",answer
0,180.0,714968.0,942.0,"[1, 3, 2]",edit
1,180.0,131872.0,2601.0,"[3, 2, 1]",answer
2,180.0,2211634.0,30229.0,"[1, 3, 2]",answer
3,180.0,2530822.0,55834.0,"[1, 3, 2]",answer
0,181.0,776084.0,1761.0,"[3, 2, 1]",comment
1,181.0,196683.0,2508.0,"[3, 2, 1]",answer
2,181.0,876298.0,3424.0,"[1, 3, 2]",favorite
0,182.0,1145235.0,2004.0,"[3, 2, 1]",answer
1,182.0,157247.0,2414.0,"[3, 2, 1]",answer
0,183.0,1231717.0,716.0,"[2, 3, 1]",edit
1,183.0,189950.0,1948.0,"[3, 2, 1]",edit
2,183.0,1218598.0,2331.0,"[3, 2, 1]",answer
3,183.0,312407.0,2460.0,"[3, 2, 1]",edit
4,183.0,187492.0,2684.0,"[3, 2, 1]",answer
5,183.0,18573.0,2704.0,"[3, 2, 1]",answer
6,183.0,557664.0,3017.0,"[3, 2, 1]",comment
7,183.0,231290.0,3122.0,"[3, 2, 1]",answer
8,183.0,177883.0,3263.0,"[3, 2, 1]",comment
9,183.0,1007845.0,3419.0,"[1, 3, 2]",edit
0,184.0,1129903.0,2002.0,"[3, 2, 1]",edit
1,184.0,1342121.0,2640.0,"[3, 2, 1]",answer
2,184.0,1264321.0,2771.0,"[3, 2, 1]",comment
3,184.0,547750.0,5472.0,"[1, 3, 2]",comment
0,185.0,829571.0,1233.0,"[1, 3, 2]",answer
1,185.0,714965.0,2938.0,"[3, 2, 1]",answer
2,185.0,575421.0,3036.0,"[3, 2, 1]",answer
3,185.0,135589.0,3368.0,"[3, 2, 1]",answer
4,185.0,1270995.0,4445.0,"[3, 2, 1]",favorite
5,185.0,1061786.0,7276.0,"[1, 3, 2]",comment
6,185.0,176897.0,8733.0,"[1, 3, 2]",answer
7,185.0,516188.0,16564.0,"[1, 3, 2]",answer
8,185.0,638329.0,33765.0,"[1, 3, 2]",answer
9,185.0,1579085.0,46242.0,"[1, 3, 2]",edit
10,185.0,1774074.0,51937.0,"[1, 3, 2]",answer
11,185.0,4669617.0,53742.0,"[1, 3, 2]",answer
12,185.0,3885376.0,54679.0,"[1, 3, 2]",favorite
13,185.0,1366353.0,55873.0,"[1, 3, 2]",favorite
14,185.0,5703813.0,57659.0,"[1, 3, 2]",answer
0,186.0,522444.0,1.0,"[1, 3, 2]",comment
1,186.0,139985.0,657.0,"[1, 3, 2]",answer
2,186.0,1268895.0,1467.0,"[3, 2, 1]",edit
3,186.0,31158.0,2389.0,"[3, 2, 1]",answer
0,187.0,1139253.0,736.0,"[2, 3, 1]",edit
1,187.0,567987.0,8685.0,"[1, 3, 2]",answer
2,187.0,1238957.0,57843.0,"[3, 2, 1]",favorite
0,188.0,1061499.0,2529.0,"[3, 2, 1]",edit
1,188.0,339637.0,4871.0,"[3, 2, 1]",answer
0,189.0,418556.0,0.0,"[1, 2, 3]",edit
1,189.0,714968.0,1318.0,"[1, 3, 2]",edit
2,189.0,1279406.0,5103.0,"[3, 2, 1]",answer
3,189.0,1313143.0,5195.0,"[3, 2, 1]",answer
4,189.0,1298028.0,11214.0,"[1, 3, 2]",favorite
0,190.0,46642.0,9.0,"[3, 2, 1]",comment
1,190.0,197788.0,10087.0,"[1, 3, 2]",edit
2,190.0,981959.0,17788.0,"[1, 3, 2]",answer
0,191.0,1464455.0,3558.0,"[3, 2, 1]",answer
0,192.0,829571.0,1400.0,"[1, 3, 2]",answer
1,192.0,1080648.0,1878.0,"[3, 2, 1]",comment
2,192.0,574479.0,2450.0,"[3, 1, 2]",comment
3,192.0,331052.0,2490.0,"[3, 2, 1]",comment
4,192.0,758133.0,3403.0,"[1, 3, 2]",comment
0,193.0,320619.0,6.0,"[3, 2, 1]",edit
1,193.0,1102433.0,6803.0,"[1, 3, 2]",comment
2,193.0,285828.0,7352.0,"[1, 3, 2]",answer
3,193.0,1192998.0,14236.0,"[1, 3, 2]",answer
0,194.0,1103872.0,1213.0,"[1, 3, 2]",comment
1,194.0,1274297.0,2543.0,"[3, 2, 1]",comment
2,194.0,1285655.0,3508.0,"[3, 2, 1]",comment
3,194.0,1219487.0,3988.0,"[3, 2, 1]",comment
0,195.0,987490.0,6486.0,"[1, 3, 2]",answer
0,196.0,808486.0,1545.0,"[3, 1, 2]",comment
1,196.0,1055241.0,3887.0,"[3, 2, 1]",edit
0,197.0,804447.0,3324.0,"[3, 2, 1]",answer
1,197.0,1136195.0,4419.0,"[3, 2, 1]",edit
0,198.0,182705.0,2384.0,"[3, 2, 1]",answer
1,198.0,928098.0,10845.0,"[1, 3, 2]",edit
0,199.0,981282.0,641.0,"[3, 2, 1]",edit
1,199.0,936414.0,3191.0,"[1, 3, 2]",comment
2,199.0,594773.0,5691.0,"[1, 3, 2]",answer
0,200.0,1295094.0,2507.0,"[3, 2, 1]",edit
1,200.0,524368.0,5672.0,"[1, 3, 2]",comment
2,200.0,91403.0,10455.0,"[1, 3, 2]",edit
0,201.0,1195990.0,916.0,"[2, 3, 1]",edit
1,201.0,157882.0,918.0,"[1, 3, 2]",edit
2,201.0,620338.0,2821.0,"[3, 2, 1]",answer
0,202.0,301686.0,115.0,"[3, 2, 1]",edit
1,202.0,419705.0,4285.0,"[3, 2, 1]",comment
2,202.0,277304.0,4866.0,"[3, 2, 1]",comment
3,202.0,620249.0,11438.0,"[1, 3, 2]",edit
0,203.0,421195.0,3639.0,"[1, 3, 2]",answer
1,203.0,716745.0,10834.0,"[1, 3, 2]",answer
0,204.0,533842.0,1591.0,"[3, 2, 1]",answer
0,205.0,571407.0,1.0,"[1, 3, 2]",answer
1,205.0,105224.0,3475.0,"[3, 1, 2]",answer
2,205.0,892062.0,4474.0,"[3, 2, 1]",answer
3,205.0,1251787.0,4491.0,"[3, 2, 1]",edit
4,205.0,821202.0,5943.0,"[3, 2, 1]",answer
5,205.0,694652.0,8608.0,"[1, 3, 2]",edit
0,206.0,204788.0,1943.0,"[3, 2, 1]",answer
0,207.0,902126.0,3653.0,"[3, 2, 1]",answer
0,208.0,714968.0,2.0,"[1, 3, 2]",comment
1,208.0,230513.0,909.0,"[1, 3, 2]",answer
2,208.0,203657.0,1494.0,"[1, 3, 2]",comment
3,208.0,1076463.0,1556.0,"[1, 3, 2]",comment
4,208.0,414813.0,2717.0,"[3, 2, 1]",edit
5,208.0,26483.0,4272.0,"[3, 2, 1]",answer
0,209.0,492405.0,4.0,"[3, 2, 1]",comment
1,209.0,201359.0,1848.0,"[1, 3, 2]",answer
2,209.0,847269.0,2127.0,"[3, 2, 1]",answer
3,209.0,64174.0,2232.0,"[3, 2, 1]",answer
4,209.0,35092.0,2782.0,"[3, 2, 1]",answer
5,209.0,120955.0,3481.0,"[3, 2, 1]",comment
0,210.0,522444.0,1.0,"[1, 3, 2]",comment
1,210.0,230513.0,414.0,"[1, 3, 2]",comment
2,210.0,807797.0,1612.0,"[3, 2, 1]",edit
3,210.0,783910.0,4906.0,"[1, 3, 2]",answer
0,211.0,142822.0,3920.0,"[3, 2, 1]",edit
1,211.0,1277252.0,5007.0,"[3, 2, 1]",answer
0,212.0,214010.0,1672.0,"[3, 2, 1]",comment
1,212.0,121993.0,2071.0,"[3, 2, 1]",comment
0,213.0,372643.0,2658.0,"[3, 1, 2]",answer
0,214.0,312172.0,3102.0,"[1, 3, 2]",comment
1,214.0,1276460.0,3311.0,"[3, 2, 1]",edit
2,214.0,302139.0,3338.0,"[3, 2, 1]",answer
3,214.0,1311351.0,3687.0,"[3, 2, 1]",comment
4,214.0,501557.0,3810.0,"[3, 2, 1]",favorite
5,214.0,419338.0,3814.0,"[3, 2, 1]",answer
6,214.0,135078.0,3850.0,"[3, 2, 1]",answer
0,215.0,751634.0,764.0,"[2, 3, 1]",edit
1,215.0,271236.0,4033.0,"[3, 2, 1]",answer
0,216.0,57695.0,2.0,"[1, 3, 2]",answer
1,216.0,260990.0,2874.0,"[1, 3, 2]",edit
2,216.0,692856.0,4832.0,"[3, 2, 1]",comment
3,216.0,801278.0,5796.0,"[3, 2, 1]",edit
0,217.0,116509.0,2419.0,"[3, 2, 1]",answer
1,217.0,502059.0,3372.0,"[3, 2, 1]",answer
0,218.0,571407.0,1.0,"[1, 3, 2]",comment
1,218.0,734413.0,3278.0,"[3, 2, 1]",comment
2,218.0,958899.0,4070.0,"[3, 2, 1]",edit
3,218.0,416206.0,5334.0,"[1, 3, 2]",answer
0,219.0,967142.0,2924.0,"[3, 2, 1]",comment
1,219.0,242930.0,5094.0,"[3, 2, 1]",answer
2,219.0,150978.0,5129.0,"[3, 2, 1]",answer
0,220.0,1223996.0,26.0,"[3, 2, 1]",comment
1,220.0,714968.0,880.0,"[1, 3, 2]",comment
2,220.0,330315.0,3141.0,"[1, 2, 3]",comment
3,220.0,1222163.0,6758.0,"[1, 3, 2]",comment
4,220.0,82474.0,27552.0,"[1, 3, 2]",edit
0,221.0,651140.0,1943.0,"[3, 2, 1]",answer
1,221.0,810077.0,2070.0,"[3, 2, 1]",comment
2,221.0,936736.0,2642.0,"[3, 2, 1]",comment
3,221.0,1279443.0,3817.0,"[3, 2, 1]",answer
0,222.0,22656.0,1352.0,"[1, 3, 2]",answer
1,222.0,469220.0,3504.0,"[3, 2, 1]",answer
2,222.0,177800.0,3522.0,"[3, 2, 1]",edit
3,222.0,714965.0,5534.0,"[3, 1, 2]",edit
0,223.0,1263838.0,2469.0,"[3, 2, 1]",answer
1,223.0,834644.0,4381.0,"[3, 2, 1]",answer
0,224.0,478197.0,4270.0,"[3, 2, 1]",edit
1,224.0,305644.0,4633.0,"[3, 2, 1]",comment
2,224.0,1344008.0,5302.0,"[3, 1, 2]",edit
3,224.0,1424229.0,6960.0,"[1, 3, 2]",comment
4,224.0,576139.0,7151.0,"[1, 3, 2]",comment
0,225.0,680925.0,1322.0,"[1, 3, 2]",edit
1,225.0,26406.0,8612.0,"[1, 3, 2]",edit
2,225.0,190652.0,10924.0,"[1, 3, 2]",answer
0,226.0,211563.0,3014.0,"[1, 3, 2]",edit
0,227.0,57695.0,3.0,"[1, 3, 2]",answer
1,227.0,129570.0,1419.0,"[1, 3, 2]",edit
2,227.0,791998.0,3833.0,"[3, 2, 1]",answer
3,227.0,3271406.0,36371.0,"[1, 2, 3]",favorite
4,227.0,5310843.0,51573.0,"[1, 3, 2]",answer
0,228.0,1122476.0,1084.0,"[3, 2, 1]",comment
1,228.0,1251858.0,1093.0,"[3, 2, 1]",comment
2,228.0,813618.0,1371.0,"[3, 2, 1]",comment
3,228.0,508328.0,3616.0,"[1, 3, 2]",comment
4,228.0,1432658.0,30726.0,"[1, 3, 2]",answer
5,228.0,1275533.0,37467.0,"[1, 3, 2]",answer
0,229.0,1065197.0,1271.0,"[1, 3, 2]",comment
1,229.0,1246042.0,50987.0,"[1, 3, 2]",answer
0,230.0,418556.0,0.0,"[1, 2, 3]",comment
1,230.0,909085.0,2991.0,"[3, 2, 1]",answer
2,230.0,720569.0,2995.0,"[3, 2, 1]",comment
3,230.0,984823.0,3032.0,"[1, 3, 2]",answer
4,230.0,1306296.0,3754.0,"[3, 2, 1]",comment
5,230.0,823991.0,3982.0,"[3, 2, 1]",comment
0,231.0,1158814.0,4.0,"[3, 2, 1]",comment
1,231.0,763029.0,2929.0,"[1, 3, 2]",comment
2,231.0,1070591.0,3126.0,"[1, 3, 2]",comment
3,231.0,341750.0,3235.0,"[1, 3, 2]",answer
4,231.0,253056.0,3579.0,"[1, 3, 2]",comment
0,232.0,668008.0,105.0,"[3, 2, 1]",answer
1,232.0,395851.0,1201.0,"[3, 2, 1]",answer
2,232.0,1288519.0,1348.0,"[3, 2, 1]",answer
3,232.0,306643.0,4941.0,"[3, 2, 1]",comment
0,233.0,243943.0,2214.0,"[3, 2, 1]",answer
1,233.0,34088.0,2603.0,"[3, 2, 1]",answer
2,233.0,1029272.0,2626.0,"[3, 2, 1]",answer
3,233.0,1335794.0,3133.0,"[3, 2, 1]",answer
4,233.0,1273080.0,3663.0,"[3, 2, 1]",comment
5,233.0,411965.0,4639.0,"[3, 2, 1]",edit
0,234.0,1202338.0,76.0,"[3, 2, 1]",edit
1,234.0,179850.0,1928.0,"[1, 3, 2]",edit
2,234.0,1140620.0,3404.0,"[3, 2, 1]",comment
3,234.0,1108213.0,5203.0,"[3, 2, 1]",comment
4,234.0,1778343.0,49810.0,"[1, 3, 2]",answer
0,235.0,516138.0,1730.0,"[3, 2, 1]",answer
1,235.0,1241197.0,10105.0,"[1, 3, 2]",comment
0,236.0,669202.0,1093.0,"[3, 2, 1]",comment
1,236.0,21234.0,2313.0,"[1, 3, 2]",edit
2,236.0,786935.0,4298.0,"[3, 2, 1]",answer
0,237.0,260990.0,2637.0,"[1, 3, 2]",answer
1,237.0,1025201.0,3618.0,"[1, 3, 2]",answer
2,237.0,1333133.0,4005.0,"[3, 2, 1]",answer
0,238.0,22656.0,1031.0,"[1, 3, 2]",answer
1,238.0,642706.0,4695.0,"[1, 3, 2]",comment
2,238.0,403950.0,14185.0,"[1, 3, 2]",answer
